name	n	mean_probe	sd_probe	median_probe	min_probe	max_probe	NORM_FACT	NF_sd
RB1_exon16	11	1.3723	0.1738	1.4117	1.1717	1.6786	1.4117	0.1738
RB1_exon17	11	1.2232	0.1523	1.2324	0.8915	1.4648	1.2324	0.1523
RB1_exon18	11	1.1864	0.1175	1.1775	1.0161	1.3528	1.1775	0.1175
RB1_exon19	11	1.1055	0.0542	1.1078	1.0248	1.2109	1.1078	0.0542
RB1_exon2	11	1.0969	0.1249	1.1394	0.9236	1.2932	1.1394	0.1249
RB1_exon20	11	1.2269	0.1071	1.2552	1.0621	1.3527	1.2552	0.1071
RB1_exon21	11	1.249	0.0748	1.2521	1.1332	1.3701	1.2521	0.0748
RB1_exon22	11	1.0646	0.2539	1.0752	0.7381	1.3662	1.0752	0.2539
RB1_exon23	11	1.0535	0.1503	1.097	0.6262	1.1904	1.097	0.1503
RB1_exon24	11	1.1904	0.1666	1.2881	0.9134	1.3551	1.2881	0.1666
RB1_exon25	11	1.2777	0.1151	1.302	0.9811	1.4234	1.302	0.1151
RB1_exon3	11	1.2182	0.1569	1.1742	0.9076	1.4133	1.1742	0.1569
RB1_exon4	11	1.1329	0.159	1.0257	0.9778	1.4066	1.0257	0.159
RB1_exon5	11	1.1342	0.1869	1.1935	0.8584	1.4481	1.1935	0.1869
RB1_exon6	11	1.0204	0.2404	1.1015	0.6802	1.3276	1.1015	0.2404
RB1_exon7	11	1.2962	0.192	1.3102	0.8251	1.6299	1.3102	0.192
RB1_exon8	11	1.1892	0.0915	1.1829	1.0731	1.375	1.1829	0.0915
RB1_exon9	11	1.093	0.1631	1.1725	0.8119	1.3768	1.1725	0.1631
RBX1_exon1	11	0.4533	0.1249	0.4813	0.2402	0.6377	0.4813	0.1249
RBX1_exon2	11	1.2575	0.0941	1.2601	1.1021	1.4176	1.2601	0.0941
RBX1_exon3	11	1.2687	0.1259	1.3292	1.0139	1.416	1.3292	0.1259
RBX1_exon4	11	1.1616	0.1226	1.1685	1.0196	1.4542	1.1685	0.1226
RBX1_exon5	11	0.9978	0.07	0.985	0.8949	1.0965	0.985	0.07
RBX1_exon6	11	1.3005	0.1123	1.2751	1.201	1.5891	1.2751	0.1123
RPL10_exon1	11	0.7902	0.275	0.6314	0.527	1.1871	0.6314	0.275
RPL10_exon2	11	0.6338	0.2071	0.5206	0.4548	1.015	0.5206	0.2071
RPL10_exon3	11	0.8445	0.2239	0.7084	0.6426	1.185	0.7084	0.2239
RPL10_exon4	11	0.5686	0.2112	0.488	0.3601	0.8427	0.488	0.2112
RPL10_exon5	11	0.327	0.1345	0.2767	0.1896	0.5759	0.2767	0.1345
RPL10_exon6	11	0.6235	0.2046	0.547	0.385	0.9859	0.547	0.2046
RPL10_exon7	11	1.0031	0.2937	0.8742	0.7268	1.4535	0.8742	0.2937
RPL10_exon8	11	0.5784	0.1997	0.5213	0.3628	0.9754	0.5213	0.1997
RPL10_exon9	11	0.5715	0.2162	0.5111	0.3263	1.0004	0.5111	0.2162
RPL5_exon1	11	0.6078	0.129	0.5774	0.4104	0.8066	0.5774	0.129
RPL5_exon10	11	0.8636	0.0836	0.8752	0.7446	0.9952	0.8752	0.0836
RPL5_exon11	11	1.2469	0.1321	1.2457	1.0672	1.4643	1.2457	0.1321
RPL5_exon2	11	1.2648	0.0972	1.2473	1.1111	1.3916	1.2473	0.0972
RPL5_exon3	11	1.1473	0.1225	1.1261	0.9976	1.379	1.1261	0.1225
